person 1,person 2,jaccard similarity
Arvind Easwaran,Oh Hong Lye,0.5
Arvind Easwaran,Ong Chin Ann,0.0
Arvind Easwaran,Owen Noel Newton Fernando,0.1428571428571429
Arvind Easwaran,Pan Xingang,0.0
Arvind Easwaran,Qian Kemao,0.16666666666666663
Arvind Easwaran,Seah Hock Soon,0.0
Arvind Easwaran,Shen Zhiqi,0.0
Arvind Easwaran,Siyuan Liu,0.0
Arvind Easwaran,Smitha K G,0.16666666666666663
Arvind Easwaran,Sourav Saha Bhowmick,0.16666666666666663
Arvind Easwaran,Sun Aixin,0.0
Arvind Easwaran,Tan Rui,0.16666666666666663
Arvind Easwaran,Vidya Sudarshan,0.0
Arvind Easwaran,Wai Kin Adams Kong,0.33333333333333337
Arvind Easwaran,Wang Wenya,0.0
Arvind Easwaran,Wee Keong NG,0.1428571428571429
Arvind Easwaran,Wei Yang Bryan Lim,0.0
Arvind Easwaran,Wei Ying,0.0
Arvind Easwaran,Wen Yonggang,0.25
Arvind Easwaran,Wentong Cai,0.33333333333333337
Arvind Easwaran,Yeo Chai Kiat,0.1428571428571429
Arvind Easwaran,Yu Han,0.0
Arvind Easwaran,Zhang Hanwang,0.16666666666666663
Arvind Easwaran,Zhang Jie,0.0
Arvind Easwaran,Zhang Tianwei,0.5
Arvind Easwaran,Zheng Jianmin,0.1428571428571429
Bo An,A S Madhukumar,0.0
Bo An,Alexei Sourin,0.11111111111111116
Bo An,Anupam Chattopadhyay,0.0
Bo An,Anwitaman Datta,0.0
Bo An,Arvind Easwaran,0.0
Bo An,Cham Tat Jen,0.0
Bo An,Chee Wei Tan,0.0
Bo An,Chen Change Loy,0.0
Bo An,Chia Liang Tien,0.0
Bo An,Chng Eng Siong,0.5
Bo An,Cong Gao,0.25
Bo An,Deepu Rajan,0.0
Bo An,Dmitrii Ustiugov,0.0
Bo An,Douglas Leslie Maskell,0.0
Bo An,Dusit Niyato,0.0
Bo An,Erik Cambria,0.375
Bo An,Goh Wooi Boon,0.0
Bo An,Guan Cuntai,0.25
Bo An,He Ying,0.0
Bo An,Huang Shell Ying,0.0
Bo An,Hui Siu Cheung,0.0
Bo An,Jagath Chandana Rajapakse,0.2727272727272727
Bo An,Kwoh Chee Keong,0.0
Bo An,Lam Kwok Yan,0.09999999999999998
Bo An,Lam Siew Kei,0.0
Bo An,Lee Bu Sung,0.0
Bo An,Li Boyang,0.0
Bo An,Li Mo,0.0
Bo An,Li Yi,0.0
Bo An,Lin Guosheng,0.0
Bo An,Lin Shang-Wei,0.0
Bo An,Liu Weichen,0.0
Bo An,Liu Yang,0.0
Bo An,Liu Ziwei,0.0
Bo An,Loke Yuan Ren,0.0
Bo An,Long Cheng,0.16666666666666663
Bo An,Lu Shijian,0.2222222222222222
Bo An,Luo Jun,0.0
Bo An,Luo Siqiang,0.0
Bo An,Luu Anh Tuan,0.0
Bo An,Miao Chun Yan,0.09999999999999998
Bo An,Mohamed M. Sabry,0.0
Bo An,Oh Hong Lye,0.0
Bo An,Ong Chin Ann,0.0
Bo An,Owen Noel Newton Fernando,0.0
Bo An,Pan Xingang,0.0
Bo An,Qian Kemao,0.0
Bo An,Seah Hock Soon,0.0
Bo An,Shen Zhiqi,0.2222222222222222
Bo An,Siyuan Liu,0.11111111111111116
Bo An,Smitha K G,0.0
Bo An,Sourav Saha Bhowmick,0.0
Bo An,Sun Aixin,0.33333333333333337
Bo An,Tan Rui,0.0
Bo An,Vidya Sudarshan,0.0
Bo An,Wai Kin Adams Kong,0.1428571428571429
Bo An,Wang Wenya,0.0
Bo An,Wee Keong NG,0.0
Bo An,Wei Yang Bryan Lim,0.25
Bo An,Wei Ying,0.1428571428571429
Bo An,Wen Yonggang,0.0
Bo An,Wentong Cai,0.0
Bo An,Yeo Chai Kiat,0.0
Bo An,Yu Han,0.375
Bo An,Zhang Hanwang,0.0
Bo An,Zhang Jie,0.33333333333333337
Bo An,Zhang Tianwei,0.0
Bo An,Zheng Jianmin,0.0
Cham Tat Jen,A S Madhukumar,0.5
Cham Tat Jen,Alexei Sourin,0.4
Cham Tat Jen,Anupam Chattopadhyay,0.11111111111111116
Cham Tat Jen,Anwitaman Datta,0.25
Cham Tat Jen,Arvind Easwaran,0.25
Cham Tat Jen,Bo An,0.0
Cham Tat Jen,Chee Wei Tan,0.0
Cham Tat Jen,Chen Change Loy,0.33333333333333337
Cham Tat Jen,Chia Liang Tien,0.75
Cham Tat Jen,Chng Eng Siong,0.0
Cham Tat Jen,Cong Gao,0.16666666666666663
Cham Tat Jen,Deepu Rajan,0.75
Cham Tat Jen,Dmitrii Ustiugov,0.0
Cham Tat Jen,Douglas Leslie Maskell,0.1428571428571429
Cham Tat Jen,Dusit Niyato,0.19999999999999996
Cham Tat Jen,Erik Cambria,0.1428571428571429
Cham Tat Jen,Goh Wooi Boon,0.4
Cham Tat Jen,Guan Cuntai,0.0
Cham Tat Jen,He Ying,0.33333333333333337
Cham Tat Jen,Huang Shell Ying,0.33333333333333337
Cham Tat Jen,Hui Siu Cheung,0.6
Cham Tat Jen,Jagath Chandana Rajapakse,0.0
Cham Tat Jen,Kwoh Chee Keong,0.1428571428571429
Cham Tat Jen,Lam Kwok Yan,0.33333333333333337
Cham Tat Jen,Lam Siew Kei,0.16666666666666663
Cham Tat Jen,Lee Bu Sung,0.33333333333333337
Cham Tat Jen,Li Boyang,0.33333333333333337
Cham Tat Jen,Li Mo,0.16666666666666663
Cham Tat Jen,Li Yi,0.33333333333333337
Cham Tat Jen,Lin Guosheng,0.33333333333333337
Cham Tat Jen,Lin Shang-Wei,0.25
Cham Tat Jen,Liu Weichen,0.19999999999999996
Cham Tat Jen,Liu Yang,0.25
Cham Tat Jen,Liu Ziwei,0.33333333333333337
Cham Tat Jen,Loke Yuan Ren,0.2857142857142857
Cham Tat Jen,Long Cheng,0.0
Cham Tat Jen,Lu Shijian,0.0
Cham Tat Jen,Luo Jun,0.0
Cham Tat Jen,Luo Siqiang,0.33333333333333337
Cham Tat Jen,Luu Anh Tuan,0.33333333333333337
Cham Tat Jen,Miao Chun Yan,0.6
Cham Tat Jen,Mohamed M. Sabry,0.11111111111111116
Cham Tat Jen,Oh Hong Lye,0.33333333333333337
Cham Tat Jen,Ong Chin Ann,0.0
Cham Tat Jen,Owen Noel Newton Fernando,0.5
Cham Tat Jen,Pan Xingang,0.0
Cham Tat Jen,Qian Kemao,0.33333333333333337
Cham Tat Jen,Seah Hock Soon,0.0
Cham Tat Jen,Shen Zhiqi,0.0
Cham Tat Jen,Siyuan Liu,0.0
Cham Tat Jen,Smitha K G,0.1428571428571429
Cham Tat Jen,Sourav Saha Bhowmick,0.1428571428571429
Cham Tat Jen,Sun Aixin,0.0
Cham Tat Jen,Tan Rui,0.33333333333333337
Cham Tat Jen,Vidya Sudarshan,0.0
Cham Tat Jen,Wai Kin Adams Kong,0.25
Cham Tat Jen,Wang Wenya,0.0
Cham Tat Jen,Wee Keong NG,0.5
Cham Tat Jen,Wei Yang Bryan Lim,0.0
Cham Tat Jen,Wei Ying,0.0
Cham Tat Jen,Wen Yonggang,0.5
Cham Tat Jen,Wentong Cai,0.25
Cham Tat Jen,Yeo Chai Kiat,0.5
Cham Tat Jen,Yu Han,0.0
Cham Tat Jen,Zhang Hanwang,0.33333333333333337
Cham Tat Jen,Zhang Jie,0.0
Cham Tat Jen,Zhang Tianwei,0.33333333333333337
Cham Tat Jen,Zheng Jianmin,0.2857142857142857
Chee Wei Tan,A S Madhukumar,0.0
Chee Wei Tan,Alexei Sourin,0.0
Chee Wei Tan,Anupam Chattopadhyay,0.0
Chee Wei Tan,Anwitaman Datta,0.0
Chee Wei Tan,Arvind Easwaran,0.0
Chee Wei Tan,Bo An,0.0
Chee Wei Tan,Cham Tat Jen,0.0
Chee Wei Tan,Chen Change Loy,0.0
Chee Wei Tan,Chia Liang Tien,0.0
Chee Wei Tan,Chng Eng Siong,0.0
Chee Wei Tan,Cong Gao,0.0
Chee Wei Tan,Deepu Rajan,0.0
Chee Wei Tan,Dmitrii Ustiugov,0.0
Chee Wei Tan,Douglas Leslie Maskell,0.0
Chee Wei Tan,Dusit Niyato,0.0
Chee Wei Tan,Erik Cambria,0.0
Chee Wei Tan,Goh Wooi Boon,0.0
Chee Wei Tan,Guan Cuntai,0.0
Chee Wei Tan,He Ying,0.0
Chee Wei Tan,Huang Shell Ying,0.0
Chee Wei Tan,Hui Siu Cheung,0.0
Chee Wei Tan,Jagath Chandana Rajapakse,0.0
Chee Wei Tan,Kwoh Chee Keong,0.0
Chee Wei Tan,Lam Kwok Yan,0.0
Chee Wei Tan,Lam Siew Kei,0.0
Chee Wei Tan,Lee Bu Sung,0.0
Chee Wei Tan,Li Boyang,0.0
Chee Wei Tan,Li Mo,0.0
Chee Wei Tan,Li Yi,0.0
Chee Wei Tan,Lin Guosheng,0.0
Chee Wei Tan,Lin Shang-Wei,0.0
Chee Wei Tan,Liu Weichen,0.0
Chee Wei Tan,Liu Yang,0.0
Chee Wei Tan,Liu Ziwei,0.0
Chee Wei Tan,Loke Yuan Ren,0.0
Chee Wei Tan,Long Cheng,0.0
Chee Wei Tan,Lu Shijian,0.0
Chee Wei Tan,Luo Jun,0.0
Chee Wei Tan,Luo Siqiang,0.0
Chee Wei Tan,Luu Anh Tuan,0.0
Chee Wei Tan,Miao Chun Yan,0.0
Chee Wei Tan,Mohamed M. Sabry,0.0
Chee Wei Tan,Oh Hong Lye,0.0
Chee Wei Tan,Ong Chin Ann,0.0
Chee Wei Tan,Owen Noel Newton Fernando,0.0
Chee Wei Tan,Pan Xingang,1.0
Chee Wei Tan,Qian Kemao,0.0
Chee Wei Tan,Seah Hock Soon,0.0
Chee Wei Tan,Shen Zhiqi,0.0
Chee Wei Tan,Siyuan Liu,0.0
Chee Wei Tan,Smitha K G,0.0
Chee Wei Tan,Sourav Saha Bhowmick,0.0
Chee Wei Tan,Sun Aixin,0.0
Chee Wei Tan,Tan Rui,0.0
Chee Wei Tan,Vidya Sudarshan,1.0
Chee Wei Tan,Wai Kin Adams Kong,0.0
Chee Wei Tan,Wang Wenya,1.0
Chee Wei Tan,Wee Keong NG,0.0
Chee Wei Tan,Wei Yang Bryan Lim,0.0
Chee Wei Tan,Wei Ying,0.0
Chee Wei Tan,Wen Yonggang,0.0
Chee Wei Tan,Wentong Cai,0.0
Chee Wei Tan,Yeo Chai Kiat,0.0
Chee Wei Tan,Yu Han,0.0
Chee Wei Tan,Zhang Hanwang,0.0
Chee Wei Tan,Zhang Jie,0.0
Chee Wei Tan,Zhang Tianwei,0.0
Chee Wei Tan,Zheng Jianmin,0.0
Chen Change Loy,A S Madhukumar,0.16666666666666663
Chen Change Loy,Alexei Sourin,0.25
Chen Change Loy,Anupam Chattopadhyay,0.1428571428571429
Chen Change Loy,Anwitaman Datta,0.5
Chen Change Loy,Arvind Easwaran,0.5
Chen Change Loy,Bo An,0.0
Chen Change Loy,Cham Tat Jen,0.33333333333333337
Chen Change Loy,Chee Wei Tan,0.0
Chen Change Loy,Chia Liang Tien,0.25
Chen Change Loy,Chng Eng Siong,0.0
Chen Change Loy,Cong Gao,0.25
Chen Change Loy,Deepu Rajan,0.25
Chen Change Loy,Dmitrii Ustiugov,0.0
Chen Change Loy,Douglas Leslie Maskell,0.19999999999999996
Chen Change Loy,Dusit Niyato,0.33333333333333337
